id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,result
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,5,4,1,3,1,1,5,5,1,18,18,9,15,19,28,49,49,72,74,75,73,68,66,56,59,48,62,60,52,42,35,29,29,20,17,19,23,17,19,17,25,13,18,13,20,15,16,17,20,16,9,10,10,11,14,15,14,21,17,13,16,18,15,9,12,15,10,16,10,19,8,11,12,9,18,13,6,12,7,6,10,8,9,8,13,8,12,11,12,9,13,11,8,10,17,8,12,13,7,12,14,7,15,11,23,23,14,22,17,27,23,18,19,23,20,29,28,30,40,26,44,36,31,40,38,35,56,40,39,38,50,51,41,51,62,58,52,72,67,64,64,68,71,88,82,105,103,102,98,95,119,126,96,92,73,77,63,78,65,54,57,50,44,48,31,27,28,27,18,27,22,24,8,11,6,12,13,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,2,0,3,0,2,0,1,2,4,1,1,5,6,8,14,16,27,18,22,22,17,26,21,17,34,15,15,11,13,14,8,7,6,4,5,2,9,5,5,7,11,5,4,2,3,4,5,10,6,8,5,12,5,9,5,5,9,8,5,9,11,13,14,4,5,6,4,11,9,4,8,5,7,10,9,5,6,12,9,11,12,12,10,8,10,12,10,5,8,14,17,9,9,5,12,14,15,14,6,12,14,11,7,10,15,12,24,23,20,26,20,23,23,28,18,21,28,32,22,18,16,28,21,33,28,26,34,41,31,36,41,59,38,58,68,64,84,75,73,80,83,96,106,83,90,94,82,111,123,134,135,148,145,146,167,161,144,143,113,94,93,81,79,50,75,51,52,54,70,52,49,45,47,42,25,17,19,21,8,7,11,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,1,2,4,1,2,4,9,8,6,9,8,9,9,15,25,28,39,28,42,39,52,42,53,60,56,72,72,63,51,56,44,48,29,30,24,20,10,9,17,15,12,12,13,11,5,8,5,13,5,9,10,8,11,10,14,12,6,8,8,7,11,10,10,9,7,5,9,10,6,9,7,7,9,11,13,7,7,7,2,8,7,8,9,7,7,13,6,8,12,10,16,6,8,13,10,6,10,8,9,7,12,12,15,5,12,18,9,9,7,14,18,23,20,13,17,13,23,26,25,25,28,43,30,27,36,32,43,44,49,41,49,50,61,76,61,67,60,65,78,60,63,74,71,92,93,108,103,94,98,102,102,102,102,120,124,116,102,86,87,84,58,62,62,51,28,39,32,37,31,23,29,24,27,20,14,25,20,19,17,13,11,11,14,14,7,8,3,3,1,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3,0,2,2,1,2,3,6,3,11,12,10,23,22,13,27,23,24,23,29,26,29,24,15,14,11,13,11,5,7,8,7,11,7,9,6,9,7,13,10,13,8,8,14,13,8,13,8,21,13,17,10,11,15,18,19,16,13,17,14,13,12,9,13,13,15,12,4,15,17,18,16,20,8,16,15,16,13,12,15,13,18,19,21,22,27,15,22,14,25,21,20,20,22,21,25,24,19,22,12,25,32,21,19,24,41,29,28,29,27,30,36,29,19,35,35,45,33,39,24,36,24,32,37,32,34,43,34,29,36,43,46,34,28,34,32,41,33,37,44,48,38,39,39,32,30,46,45,40,53,70,48,61,62,83,70,75,71,80,84,57,93,69,82,87,68,89,81,82,104,118,110,100,99,89,86,78,71,59,40,27,10,9,10,6,2,1,3,1,3,3,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,2,1,1,3,5,3,2,4,7,7,10,12,17,18,11,9,15,10,13,12,17,19,22,15,26,29,26,29,26,20,25,21,18,15,17,20,25,20,17,19,8,9,12,4,6,9,14,11,11,11,9,6,9,11,12,10,13,12,9,11,14,18,14,15,16,15,19,17,14,14,22,22,16,12,22,17,19,19,12,18,14,14,14,21,18,14,15,20,22,9,24,16,22,20,19,27,22,29,29,21,28,17,27,16,15,19,24,23,28,37,21,31,19,30,26,30,24,30,31,23,35,33,41,36,39,42,35,39,38,39,48,29,36,39,34,38,31,46,49,45,35,53,42,56,68,55,47,56,59,56,67,78,57,63,68,76,80,67,84,89,52,60,76,68,62,75,87,64,59,80,73,75,78,82,59,69,43,44,35,42,33,47,35,32,33,18,18,12,13,5,6,6,6,0,2,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,2,1,1,5,0,2,0,3,4,3,6,3,5,5,9,10,10,21,10,18,21,23,38,27,26,29,22,26,21,20,28,8,20,15,18,17,21,9,16,18,17,14,19,6,14,13,17,10,9,16,10,16,11,11,12,10,12,12,9,14,10,6,14,13,15,6,11,12,4,5,15,11,10,12,8,12,8,3,8,16,8,9,14,13,9,11,4,4,12,10,10,12,18,16,9,13,9,16,10,20,19,10,20,25,14,19,24,25,15,24,29,25,20,26,22,28,38,40,26,28,34,39,39,46,48,49,52,62,60,70,81,76,83,86,82,74,91,84,108,107,115,127,108,117,107,126,98,110,114,132,140,149,120,108,113,105,105,100,82,85,76,42,33,24,14,17,11,10,9,7,5,2,1,6,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,6,6,16,12,10,16,29,29,33,52,68,55,65,40,34,30,40,25,35,35,21,34,21,24,24,20,26,20,17,14,20,18,20,17,24,17,23,27,20,12,12,14,13,15,17,17,15,17,15,15,20,20,10,5,9,9,10,9,9,7,8,6,7,10,7,6,11,11,8,9,7,8,12,1,7,13,7,4,3,9,11,13,16,17,9,9,10,9,10,12,23,14,15,19,14,18,26,12,16,18,22,30,23,26,41,21,26,24,25,33,28,41,30,34,40,38,49,59,60,48,49,62,65,56,73,77,95,63,105,97,85,66,78,98,86,89,78,93,76,93,85,66,79,82,73,77,75,78,74,73,70,81,81,76,53,58,51,45,49,31,27,29,21,18,15,19,10,7,13,7,7,3,6,4,3,0,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,3,4,3,12,12,20,29,32,30,33,31,47,57,69,59,40,45,39,50,44,50,33,62,43,34,36,19,33,28,32,22,21,21,17,16,22,16,17,12,14,9,8,11,10,12,20,12,11,14,7,12,11,15,6,7,10,15,12,9,10,14,10,16,14,13,13,17,16,22,12,9,16,11,15,17,11,18,27,15,16,17,17,13,13,20,19,16,13,22,15,10,15,14,11,21,14,17,14,28,15,27,27,16,18,24,32,23,19,16,30,37,23,22,24,33,24,29,32,26,29,30,44,50,35,39,45,29,32,48,46,37,34,48,53,45,48,48,50,36,44,45,61,48,53,55,61,46,56,31,42,47,42,41,46,46,47,52,43,46,48,44,65,50,61,49,59,50,55,54,68,73,84,50,48,44,40,45,32,31,35,30,38,25,23,12,13,9,10,7,8,4,2,1,2,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,5,9,8,25,20,20,37,44,50,41,58,51,38,34,33,22,28,31,26,40,27,35,33,29,21,21,34,18,20,16,18,23,16,26,17,19,17,14,15,12,11,9,13,11,16,14,13,9,6,17,13,11,17,14,8,13,12,11,8,8,7,10,14,13,12,15,16,12,11,12,17,15,12,11,7,8,14,14,13,12,12,11,23,12,16,15,9,23,19,15,13,11,16,14,14,23,8,20,21,19,21,15,26,21,23,26,19,28,15,18,31,20,30,24,31,30,26,30,37,35,33,38,31,34,45,52,37,45,49,44,44,44,44,44,56,49,51,38,55,46,54,49,48,58,54,40,52,69,59,61,68,70,64,60,61,68,66,59,64,79,71,60,55,65,66,66,55,40,61,66,56,49,39,49,40,45,32,35,26,37,32,18,8,13,18,13,11,13,2,5,0,4,5,0,1,2,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,5,1,2,5,7,9,3,10,22,37,44,46,51,29,37,43,58,58,65,46,72,109,118,74,67,48,34,19,21,18,17,19,9,9,7,9,12,9,12,9,13,22,7,10,17,9,19,12,10,9,10,11,15,9,7,11,7,10,11,9,14,12,6,9,13,9,21,15,15,12,15,11,13,15,15,9,14,22,16,19,14,12,19,21,32,21,29,17,19,32,24,24,16,33,33,29,35,43,33,30,37,44,38,50,48,67,50,41,66,53,66,51,76,61,72,62,64,63,57,54,63,73,60,68,72,57,72,79,61,70,65,66,66,75,61,59,59,67,61,58,40,41,50,42,37,45,43,37,51,33,36,36,28,41,28,29,27,25,19,14,15,17,17,14,10,11,9,12,12,12,6,5,5,3,5,2,1,4,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
